date,atom_price,atom_norm,account_value,account_norm,value,value_norm
2025-10-31,2.94,0.0,8522,0.06503881712463357,1398665415,0.0
2025-10-30,3.1,0.06504065040650411,7781,0.04116870147859421,1474292217,0.07376637053907943
2025-10-29,3.11,0.06910569105691053,37546,1.0,1478553143,0.07792247707596033
2025-10-28,3.18,0.09756097560975617,7317,0.026221692491060787,1511326338,0.10988944622162783
2025-10-27,3.26,0.13008130081300803,8548,0.06587636504203846,1548828466,0.1464690158569006
2025-10-26,3.14,0.08130081300813014,8425,0.06191411912508456,1491316461,0.09037181540572471
2025-10-25,3.18,0.09756097560975617,6665,0.005218567793061238,1509807906,0.10840836789240804
2025-10-24,3.18,0.09756097560975617,6613,0.0035434719582514576,1509302101,0.10791500577654707
2025-10-23,3.11,0.06910569105691053,7646,0.03681989498437651,1475583931,0.07502630816746832
2025-10-22,3.2,0.10569105691056918,7546,0.03359855684051155,1517780055,0.1161844007481508
2025-10-21,3.27,0.13414634146341464,7059,0.017910640079889188,1550461149,0.14806153459319274
2025-10-20,3.22,0.11382113821138219,7518,0.03269658216022936,1526241154,0.12443735535545833
2025-10-19,3.18,0.09756097560975617,6931,0.013787327255742035,1506776160,0.10545120333034746
2025-10-18,3.15,0.08536585365853655,6764,0.00840769255548755,1492060374,0.09109742802658945
2025-10-17,3.27,0.13414634146341464,7323,0.026414972779692684,1548381442,0.14603298871901024
2025-10-16,3.33,0.1585365853658537,6951,0.014431594884515028,1576263142,0.17322879442634995
2025-10-15,3.47,0.21544715447154478,10810,0.13874303385626388,1641982985,0.23733191874606038
2025-10-14,3.66,0.29268292682926833,8291,0.057597526012305514,1731310699,0.3244621566520995
2025-10-13,3.47,0.21544715447154478,8928,0.07811744998872532,1640884352,0.23626031229409827
2025-10-12,3.1,0.06504065040650411,9117,0.0842057790806301,1465428535,0.0651207365381525
2025-10-11,2.96,0.008130081300813014,10042,0.11400315691138099,1398779447,0.00011122679450748566
2025-10-10,4.06,0.45528455284552827,11866,0.1727603646554779,1917953379,0.5065133967836977
2025-10-09,4.17,0.4999999999999999,9781,0.10559546435589344,1969258409,0.5565563148155693
2025-10-08,4.06,0.45528455284552827,10765,0.13729343169152466,1916669660,0.5052612574770262
2025-10-07,4.27,0.5406504065040648,9270,0.08913442644074349,2015133534,0.6013029043814825
2025-10-06,4.13,0.4837398373983739,10130,0.11683793447798216,1948410934,0.53622169104483
2025-10-05,4.13,0.4837398373983739,10815,0.13890410076345713,1947758147,0.5355849627097472
2025-10-04,4.29,0.548780487804878,8812,0.07438069774184196,2022537916,0.6085251373965039
2025-10-03,4.29,0.548780487804878,9650,0.10137551138743034,2021861114,0.6078649848342735
2025-10-02,4.15,0.49186991869918706,14732,0.26508391585864766,1955224119,0.5428672706008887
2025-10-01,4.11,0.47560975609756106,12876,0.205295879908514,1935729607,0.5238523267233129
2025-09-30,4.11,0.47560975609756106,9701,0.10301839384080147,1935080270,0.5232189635176767
2025-09-29,4.18,0.5040650406504064,8557,0.0661662854749863,1967377035,0.554721222917771
2025-09-28,4.11,0.47560975609756106,8134,0.052540025126437524,1933781007,0.5219516625958989
2025-09-27,4.11,0.47560975609756106,7440,0.03018393840801469,1933131703,0.5213183315784573
2025-09-26,4.05,0.45121951219512185,7596,0.03520922591244403,1904310501,0.4932061357710284
2025-09-25,4.16,0.4959349593495935,8632,0.06858228908288504,1955334479,0.5429749157271851
2025-09-24,4.13,0.4837398373983739,9396,0.09319331250201333,1940582649,0.5285859831116092
2025-09-23,4.17,0.4999999999999999,12443,0.19134748574557872,1958723108,0.5462801839101962
2025-09-22,4.42,0.6016260162601625,14554,0.25934993396256806,2075458014,0.6601433924964935
2025-09-21,4.46,0.6178861788617885,10872,0.14074026350546018,2093538074,0.6777786801201694
2025-09-20,4.48,0.6260162601626017,9050,0.08204748252424057,2102219798,0.6862468323170852
2025-09-19,4.69,0.7113821138211383,10998,0.14479914956673,2200021949,0.7816430347134922
2025-09-18,4.62,0.6829268292682926,10662,0.13397545340334374,2166458474,0.748905226582598
2025-09-17,4.54,0.6504065040650405,8238,0.05589021679605708,2128229744,0.7116169294730835
2025-09-16,4.5,0.6341463414634145,10094,0.11567825274619077,2108774876,0.6926406543467483
2025-09-15,4.65,0.6951219512195123,9457,0.09515832876977097,2178336707,0.7604912531453438
2025-09-14,4.83,0.7682926829268292,8804,0.07412299069033276,2261900984,0.8419998355261282
2025-09-13,4.76,0.7398373983739835,10746,0.13668137744419032,2228372925,0.8092965721559527
2025-09-12,4.69,0.7113821138211383,9840,0.10749605386077377,2194866123,0.7766140428601672
2025-09-11,4.68,0.7073170731707314,9211,0.08723383693586316,2189451794,0.7713329072221102
2025-09-10,4.59,0.670731707317073,10550,0.130367554682215,2146627170,0.7295617758422489
2025-09-09,4.56,0.6585365853658535,10352,0.12398930515736237,2131882969,0.7151802845520492
2025-09-08,4.5,0.6341463414634145,9762,0.10498341010855909,2103126488,0.687131217597638
2025-09-07,4.42,0.6016260162601625,8811,0.07434848436040331,2065045051,0.6499865900566955
2025-09-06,4.44,0.6097560975609757,9129,0.0845923396578939,2073694282,0.6584230485866236
2025-09-05,4.38,0.5853658536585364,9682,0.10240633959346712,2044985592,0.630420596965946
2025-09-04,4.53,0.6463414634146342,8650,0.06916212994878072,2114309817,0.6980394349102573
2025-09-03,4.42,0.6016260162601625,8787,0.07357536320587572,2062277083,0.6472867145135207
2025-09-02,4.39,0.5894308943089429,8708,0.0710305060722224,2047592494,0.6329633687585582
